Iteration,Execution Time (ms)
1,11.8358
2,5.5937
3,5.5288
4,5.7115
5,5.4326
6,9.6675
7,5.8734
8,8.6277
9,5.5705
10,7.689
11,5.6169
12,6.4364
13,6.5928
14,6.4182
15,6.5382
16,5.1563
17,5.9433
18,6.3892
19,6.0194
20,5.6448
21,6.7297
22,5.2126
23,5.4007
24,5.5651
25,6.701
26,5.6736
27,6.0383
28,6.9411
29,6.0792
30,6.1229
31,6.5143
32,6.4764
33,6.9191
34,26.5723
35,15.0703
36,14.7443
37,15.8558
38,16.1378
39,49.1389
40,14.8175
41,15.7601
42,17.269
43,1665.8689
44,18.2979
45,19.3127
46,19.7784
47,18.0672
48,17.8406
49,18.683
50,18.808
51,19.2327
52,24.6056
53,3210.6184
54,30.6669
55,20.2321
56,17.8141
57,3311.0851
58,30.1086
59,43.469
60,3642.9884
61,20.0096
62,27.7211
63,28.0373
64,29.3864
65,28.5696
66,26.9426
67,23.9082
68,23.8105
69,52.6491
70,28.7728
71,69.7616
72,5254.5349
73,36.0729
74,102.9609
75,20.2946
76,99.562
77,103.4535
78,103.4731
79,101.2373
80,98.4535
81,97.7586
82,98.0194
83,107.8751
84,21.657
85,23.8301
86,2984.7894
87,27.6293
88,33.6663
89,38.7767
90,27.0781
91,45.5194
92,141.768
93,147.1698
94,11406.5804
95,26.112
96,25.1548
97,25.6746
98,26.6795
99,26.9577
100,34.9085
101,36.2721
102,4129.9244
103,117.8267
104,120.4075
105,34.3341
106,33.898
107,34.1305
108,33.8643
109,34.0481
110,49.8274
111,189.4061
112,50.5302
113,193.3005
114,191.8019
115,56.353
116,64.8592
117,4412.3335
118,16799.8338
119,4449.7856
120,16694.0901
121,17096.9809
122,38.3013
123,39.1551
124,38.4921
125,40.6099
126,41.1272
127,41.1995
128,44.3798
129,43.287
130,50.5175
131,73.2226
132,459.9126
133,118.55
134,130.1676
135,113.259
136,81.7487
137,4909.5696
138,119.3684
139,128.1799
140,122.8912
141,119.7979
142,123.8558
143,116.3291
144,128.7044
145,55.1582
146,53.3504
147,115.1454
148,50.8766
149,50.8299
150,54.6778
151,3497.8676
152,4747.546
153,27366.9853
154,5218.0071
155,95.7014
156,5316.2498
157,134.6808
158,131.1186
159,128.0735
160,124.7162
161,127.13
162,60.1733
163,58.8643
164,58.5025
165,58.4398
166,60.8546
167,62.5189
168,60.3718
169,85.3023
170,221.1724
171,82.4619
172,58.9069
173,58.1985
174,58.1745
175,125.5922
176,58.7907
177,81.9237
178,153.0184
179,157.0158
180,229.1562
181,33258.6199
182,15616.0571
183,22009.4482
184,80.4416
185,81.4108
186,83.4439
187,65.6839
188,66.0129
189,68.8225
190,67.7624
191,69.033
192,68.3109
193,68.0009
194,86.977
195,87.0149
196,104.4279
197,101.3572
198,686.7988
199,2399.5125
200,3262.0738
201,130.0121
202,6724.0622
203,88.8572
204,89.9038
205,93.2697
206,101.4546
207,94.9123
208,101.5853
209,94.1432
210,101.1772
211,102.7192
212,100.6938
213,103.1593
214,102.1137
215,95.2837
216,98.2606
217,98.4872
218,96.896
219,98.5782
220,97.9714
221,97.856
222,1234.2881
223,98.1344
224,1295.5188
225,106.7247
226,97.3848
227,99.344
228,103.8095
229,104.5989
230,97.7328
231,96.4453
232,94.8075
233,99.2696
234,695.4301
235,7052.8674
236,8065.5948
237,12924.6748
238,9100.5477
239,9989.0554
240,118.3784
241,123.7459
242,112.5325
243,112.3545
244,109.3081
245,111.779
246,111.3376
247,110.5448
248,116.5514
249,115.6806
250,111.2996
251,110.6718
252,124.7601
253,36404.9495
254,253.9467
255,133.0715
256,112.2358
257,113.4094
258,111.3012
259,110.376
260,110.545
261,109.9692
262,123.4111
263,109.8845
264,112.79
265,114.075
266,112.638
267,111.2646
268,110.2791
269,111.1223
270,5973.6538
271,6160.8851
272,7609.8595
273,152.6289
274,170.952
275,168.6781
276,169.0988
277,636.2727
278,646.1266
279,520.0433
280,117.1792
281,110.3295
282,119.1191
283,525.0326
284,2124.6484
285,156.3117
286,15951.6101
287,216.4176
288,219.4989
289,168.4387
290,212.8498
291,209.4713
292,221.95
293,223.4598
294,157.3512
295,7051.0624
296,1997.0414
297,6971.8573
298,7123.558
299,159.1396
300,168.9579
301,155.0166
302,127.9432
303,144.3359
304,128.2928
305,770.6928
306,125.2636
307,774.7503
308,123.7931
309,768.7262
310,296.0566
311,250.2031
312,290.3237
313,249.4009
314,153.2001
315,157.9635
316,158.5621
317,538.9129
318,155.6604
319,470.7456
320,202.3336
321,7694.4471
322,202.9758
323,155.0098
324,158.9523
325,313.2526
326,828.5477
327,895.7325
328,824.8193
329,487.2471
330,496.6182
331,925.1582
332,2127.4359
333,18088.6884
334,1238.2588
335,1216.2032
336,1278.3778
337,1247.8587
338,1193.2497
339,1280.7409
340,7211.3673
341,7170.9475
342,7074.6071
343,7074.51
344,6870.8079
345,231.478
346,816.3599
347,1325.5668
348,846.867
349,592.635
350,952.619
351,221.1508
352,1167.5776
353,221.5747
354,219.4468
355,7157.0274
356,157.9496
357,7148.1423
358,7257.3444
359,217.5577
360,541.5782
361,1388.5189
362,1342.6379
363,827.7727
364,280.1043
365,7576.7193
366,242.4164
367,221.3261
368,261.427
369,7175.603
370,163.5308
371,1244.6287
372,605.0666
373,805.5278
374,1309.0643
375,177.5668
376,1528.7106
377,761.1445
378,215.7952
379,170.9942
380,211.2391
381,770.6352
382,213.4017
383,7172.2628
384,7260.1792
385,7411.9815
386,7581.1626
387,7474.8817
388,181.7388
389,181.773
390,17895.3448
391,4230.4034
392,1656.1587
393,4264.9094
394,230.1892
395,1637.0702
396,1596.4883
397,1679.7815
398,1537.7915
399,3037.6099
400,7104.0571
401,4625.3747
402,168.7033
403,172.4154
404,7875.2547
405,169.2288
406,7665.4888
407,229.3868
408,574.9797
409,233.6788
410,7647.9007
411,8150.3411
412,288.668
413,851.343
414,286.6743
415,850.6232
416,1469.3526
417,1707.9359
418,902.753
419,1642.2553
420,18133.2269
421,19750.6198
422,16093.7211
423,16007.7017
424,16142.9835
425,18634.4193
426,17841.4032
427,7154.7815
428,7504.3477
429,570.0012
430,269.6689
431,2125.9401
432,268.4357
433,2121.2294
434,268.4429
435,675.2317
436,670.8383
437,170.3956
438,171.2893
439,168.9669
440,600.4152
441,170.0555
442,595.6182
443,228.2486
444,2009.935
445,171.7109
446,7274.4845
447,232.9178
448,7274.2615
449,229.6841
450,466.5372
451,445.7863
452,738.9936
453,17414.9736
454,1461.2906
455,468.9259
456,696.6113
457,198.1163
458,620.8498
459,1393.0258
460,632.4901
461,1493.5874
462,18846.9938
463,18005.4048
464,184.7607
465,189.8834
466,197.2838
467,1212.6419
468,554.5437
469,251.4742
470,8357.8338
471,8257.5704
472,224.7453
473,8300.2239
474,8347.5563
475,8441.8171
476,8383.051
477,8395.5902
478,8400.8281
479,8503.8637
480,806.4804
481,7565.3665
482,7653.8528
483,2926.904
484,7621.196
485,169.8317
486,168.42
487,194.288
488,165.7953
489,1399.1346
490,1410.9927
491,165.0891
492,1430.6558
493,166.0766
494,1406.3405
495,14893.3543
496,19329.1344
497,189.3085
498,19379.798
499,1092.6343
500,167.4386
501,900.2774
502,167.9676
503,166.6209
504,169.24
505,908.3784
506,155.1043
507,8817.0867
508,154.4261
509,902.8302
510,1662.1692
511,902.8446
512,1432.9158
513,904.3492
514,9282.5476
515,966.719
516,567.2119
517,907.6769
518,1707.2452
519,1705.7365
520,152.4559
521,186.1205
522,154.1262
523,184.7075
524,151.8625
525,182.4358
526,225.8457
527,183.8394
528,156.916
529,699.7379
530,1592.7952
531,695.8257
532,1666.8186
533,4155.5845
534,20493.0196
535,191.0086
536,191.3533
537,188.2514
538,19786.5915
539,19538.8481
540,1659.4865
541,845.9347
542,5345.4414
543,878.0035
544,155.0745
545,232.0162
546,153.0411
547,158.5417
548,152.4996
549,163.3547
550,227.9937
551,8442.7723
552,226.1244
553,184.8681
554,225.298
555,8180.4147
556,560.679
557,18249.896
558,17973.5128
559,18206.5437
560,560.7749
561,237.4463
562,18025.3278
563,18969.5893
564,18410.8901
565,7122.047
566,139.9226
567,172.7336
568,816.5956
569,170.7435
570,814.5037
571,5056.2262
572,15974.0102
573,5089.1369
574,6907.3086
575,170.5365
576,7111.7946
577,168.6288
578,140.7573
579,141.945
580,203.0521
581,173.7138
582,7553.6281
583,175.6531
584,7525.2839
585,208.2303
586,7090.658
587,139.8657
588,141.2729
589,169.8497
590,173.8208
591,140.8093
592,150.7863
593,164.2896
594,351.4362
595,325.0582
596,8560.9733
597,258.4944
598,265.4575
599,187.3515
600,261.8828
601,277.6361
602,7808.7127
603,259.663
604,179.5941
605,130.1476
606,181.3262
607,130.427
608,183.373
609,186.4063
610,265.4268
611,213.1187
612,165.8586
613,267.3375
614,7594.541
615,260.6732
616,257.4033
617,7616.6258
618,7626.8745
619,179.1423
620,202.6185
621,166.3861
622,142.0942
623,164.8283
624,7569.53
625,195.5033
626,163.4409
627,191.2255
628,140.0613
629,143.7543
630,141.8837
631,137.5392
632,169.9491
633,166.6861
634,7444.7476
635,243.3221
636,6906.3755
637,155.1099
638,6953.0067
639,154.8921
640,243.2759
641,16971.5812
642,16372.468
643,1394.5455
644,15753.7946
645,16868.4825
646,15458.6924
647,18045.0285
648,5322.2137
649,2192.0296
650,120.6746
651,2109.2025
652,16139.6602
653,1356.9616
654,124.1653
655,125.9053
656,121.3556
657,1351.0647
658,112.4901
659,8597.3304
660,114.8373
661,121.9311
662,119.6844
663,180.6219
664,111.2169
665,177.6574
666,115.3206
667,110.4712
668,110.3848
669,119.0452
670,108.9571
671,266.6631
672,218.1963
673,254.9732
674,9092.9771
675,9081.4681
676,9097.2681
677,101.2791
678,9203.682
679,9042.6266
680,8035.672
681,854.7537
682,202.6469
683,104.9567
684,96.7946
685,94.7412
686,95.5757
687,94.6122
688,94.6729
689,92.7625
690,165.3927
691,101.8796
692,162.4863
693,91.009
694,90.5845
695,7588.8963
696,224.5407
697,112.0811
698,83.2314
699,172.197
700,228.3534
701,168.8484
702,88.6087
703,168.9975
704,142.4382
705,170.5889
706,167.3791
707,81.1729
708,221.0154
709,83.5674
710,79.108
711,289.5693
712,81.3369
713,397.3552
714,109.0028
715,298.2665
716,98.8548
717,73.5116
718,73.2848
719,7489.769
