Iteration,Execution Time (ms)
1,52.3487
2,5.1467
3,5.5405
4,7.081
5,5.9582
6,6.4701
7,6.3135
8,5.8292
9,5.1881
10,6.2085
11,5.7324
12,6.5607
13,6.7772
14,6.5729
15,19.924
16,9.9685
17,10.8956
18,10.3609
19,10.8536
20,9.798
21,9.3033
22,9.2323
23,11.4464
24,12.0119
25,10.6747
26,432.3435
27,11.9623
28,11.9157
29,12.3979
30,12.9472
31,13.0098
32,12.8629
33,13.3362
34,13.9412
35,490.0148
36,18.7855
37,19.9266
38,21.7743
39,20.6491
40,21.4912
41,21.9835
42,24.5193
43,26.0919
44,530.8326
45,517.4132
46,17.1858
47,17.9659
48,20.9974
49,20.4042
50,21.317
51,21.0085
52,21.731
53,22.7347
54,30.5194
55,22.8619
56,23.6433
57,22.5292
58,31.5295
59,659.0359
60,21.4405
61,682.4695
62,23.8664
63,24.3759
64,27.1184
65,29.1504
66,27.5065
67,27.5619
68,29.2473
69,27.1835
70,26.9728
71,27.7501
72,31.891
73,34.8315
74,40.7766
75,40.2674
76,45.68
77,914.195
78,33.6881
79,37.2887
80,33.796
81,877.2097
82,32.3482
83,34.6686
84,41.6303
85,36.3225
86,37.7891
87,36.7564
88,39.3913
89,38.5725
90,38.4176
91,40.9655
92,1084.5468
93,44.6786
94,45.5285
95,46.9258
96,49.2315
97,47.3189
98,49.2142
99,46.9671
100,1272.0659
101,52.279
102,55.6794
103,55.9509
104,57.1539
105,57.5199
106,55.2844
107,54.2373
108,59.5405
109,56.4823
110,54.7892
111,56.649
112,57.667
113,55.4187
114,59.4851
115,94.8859
116,1415.353
117,67.8787
118,1386.724
119,62.5222
120,83.9713
121,67.678
122,70.748
123,69.4779
124,67.8616
125,67.2171
126,67.9026
127,75.7469
128,70.1932
129,67.7297
130,69.6871
131,69.638
132,69.9449
133,69.7239
134,73.5156
135,119.0107
136,121.1348
137,74.9299
138,1591.4859
139,79.0499
140,1578.2399
141,76.2581
142,78.5165
143,77.3553
144,78.6497
145,84.421
146,81.8348
147,79.0153
148,76.4337
149,80.485
150,84.4298
151,126.7785
152,132.0899
153,133.04
154,90.7786
155,144.5859
156,88.2772
157,87.9243
158,89.0008
159,91.2932
160,92.1792
161,98.7351
162,133.3523
163,99.2177
164,126.9243
165,107.1148
166,127.8256
167,101.5175
168,100.0129
169,101.1379
170,181.0491
171,108.2843
172,123.1936
173,103.0711
174,120.059
175,101.9028
176,113.1875
177,130.2338
178,175.3948
179,373.2812
180,144.4967
181,158.5145
182,128.4794
183,144.4516
184,119.7603
185,125.3826
186,140.9611
187,130.3292
188,125.1386
189,131.2073
190,132.4348
191,124.3036
192,135.5564
193,119.3056
194,152.09
195,120.2477
196,134.1402
197,124.7623
198,149.5871
199,129.4169
200,247.8457
201,295.6915
202,194.5605
203,263.2171
204,155.7401
205,160.3481
206,167.4317
207,147.2838
208,180.0211
209,150.5721
210,163.905
211,160.2976
212,186.9802
213,168.5878
214,157.3317
215,166.1604
216,191.8625
217,169.7913
218,153.7384
219,189.041
220,156.2107
221,177.3561
222,156.9708
223,152.7134
224,175.8567
225,164.1617
226,155.0629
227,185.6642
228,168.3557
229,159.3898
230,160.5448
231,174.7983
232,152.8299
233,163.1594
234,174.7631
235,178.7721
236,297.0671
237,210.9431
238,187.6044
239,306.1009
240,2340.6002
241,209.2052
242,223.499
243,218.6716
244,213.2675
245,224.265
246,213.1922
247,195.5765
248,169.9078
249,158.5499
250,162.1923
251,177.1562
252,2487.286
253,212.8057
254,2480.1123
255,152.8113
256,218.3764
257,178.8699
258,217.3525
259,190.8278
260,179.7403
261,176.0591
262,2174.7844
263,151.4373
264,157.1651
265,158.6659
266,159.1569
267,154.2382
268,153.8695
269,158.4771
270,151.6789
271,150.6659
272,153.6754
273,153.491
274,158.1724
275,154.5386
276,162.0541
277,225.3694
278,210.7973
279,161.1427
280,151.6691
281,150.5921
282,158.6331
283,170.4828
284,187.9445
285,173.891
286,172.8188
287,160.6096
288,155.0271
289,165.8985
290,176.7883
291,175.749
292,166.7693
293,153.131
294,162.3519
295,271.2246
296,176.633
297,266.7482
298,2304.0279
299,179.228
300,173.8053
301,170.7986
302,184.3813
303,175.184
304,176.2764
305,191.4091
306,198.8415
307,172.5994
308,190.1599
309,177.0624
310,178.4552
311,182.5087
312,186.3219
313,181.4724
314,185.6766
315,194.824
316,192.4766
317,302.0729
318,291.1175
319,356.4853
320,197.8874
321,348.158
322,220.8064
323,214.3858
324,196.4093
325,181.9681
326,216.9422
327,194.4581
328,195.0207
329,198.4674
330,327.883
331,190.8047
332,193.0097
333,194.6489
334,192.3007
335,213.4229
336,229.3565
337,219.7234
338,224.2786
339,232.9502
340,248.056
341,223.9185
342,195.014
343,189.6601
344,197.3437
345,203.5159
346,238.172
347,192.8074
348,201.8506
349,230.5999
350,230.9432
351,197.8816
352,193.3609
353,234.6533
354,206.5327
355,195.7639
356,178.6024
357,196.2564
358,2500.1153
359,2599.2857
360,2624.0579
361,279.4418
362,269.3229
363,264.5932
364,2602.4566
365,440.5155
366,364.4023
367,267.647
368,373.9425
369,420.5492
370,2635.9438
371,241.2634
372,2649.6443
373,269.3719
374,257.4256
375,270.0243
376,285.5063
377,251.1687
378,307.5266
379,252.6575
380,250.1448
381,271.9715
382,269.4772
383,265.7158
384,292.0452
385,362.269
386,482.4297
387,343.8215
388,301.9913
389,268.7242
390,245.6845
391,264.7504
392,277.3225
393,273.1074
394,288.0831
395,252.1715
396,245.4647
397,282.8213
398,241.7848
399,332.2974
400,280.0263
401,281.3673
402,294.3409
403,304.5593
404,281.1467
405,294.6207
406,286.5399
407,375.3814
408,474.9049
409,428.546
410,307.9249
411,427.2525
412,464.1748
413,323.682
414,480.4106
415,336.9367
416,323.196
417,356.175
418,314.1713
419,311.2471
420,331.5587
421,330.4978
422,331.597
423,330.3856
424,338.0636
425,307.0969
426,309.4902
427,313.9019
428,358.2099
429,336.6496
430,462.0205
431,300.8128
432,465.118
433,340.2698
434,488.6866
435,308.7643
436,287.5987
437,294.9642
438,297.9604
439,301.4273
440,326.6256
441,304.231
442,323.2395
443,322.5335
444,324.6766
445,303.8024
446,307.9488
447,295.075
448,215.9927
449,247.3802
450,236.3932
451,239.8042
452,248.6908
453,284.7498
454,280.9961
455,249.9206
456,246.6797
457,275.5088
458,251.5327
459,288.3072
460,294.1422
461,336.3839
462,563.772
463,344.9082
464,269.6533
465,242.2651
466,280.6329
467,344.0343
468,259.4014
469,301.0313
470,493.0765
471,397.1564
472,2757.9105
473,331.7562
474,2773.1777
475,2753.3094
476,298.6977
477,961.9441
478,303.0858
479,336.1691
480,309.8531
481,296.7267
482,300.5756
483,304.6365
484,295.2886
485,322.1525
486,321.8458
487,295.0727
488,324.6205
489,291.7043
490,314.7718
491,300.6195
492,312.2383
493,288.0223
494,322.0855
495,300.1653
496,261.9376
497,262.4144
498,263.2352
499,280.0162
500,327.0598
501,268.5437
502,346.5115
503,265.4251
504,357.0666
505,511.2771
506,263.1004
507,499.5808
508,301.2001
509,285.6526
510,283.2543
511,242.7329
512,242.1666
513,221.2452
514,262.2143
515,245.5779
516,222.2593
517,228.6145
518,224.787
519,243.6848
520,239.1224
521,2754.4775
522,275.0736
523,276.4473
524,253.0414
525,262.4998
526,954.1569
527,271.184
528,315.7925
529,252.6505
530,243.9251
531,239.6168
532,242.0228
533,245.018
534,256.7072
535,243.6927
536,306.9864
537,261.2547
538,294.8568
539,256.7479
540,246.2576
541,281.9548
542,255.6527
543,249.1802
544,245.5374
545,242.5701
546,248.8485
547,261.3309
548,301.9184
549,247.4553
550,215.7344
551,249.2485
552,2712.6759
553,217.9406
554,248.8985
555,2622.8506
556,229.3483
557,231.1325
558,194.8686
559,194.5433
560,260.0174
561,209.816
562,240.1772
563,205.9071
564,194.2322
565,196.0808
566,196.7809
567,202.0747
568,224.3562
569,196.1369
570,198.7923
571,221.1677
572,248.9437
573,201.4983
574,195.1485
575,195.6851
576,196.7152
577,207.8464
578,221.2935
579,197.1146
580,194.931
581,2724.6121
582,204.2917
583,2684.3176
584,196.4516
585,2498.4078
586,201.3908
587,2608.3404
588,219.0114
589,2609.6356
590,185.135
591,2566.1694
592,181.1859
593,2613.2976
594,198.0796
595,2491.5189
596,257.8857
597,204.8857
598,174.1089
599,188.1069
600,189.7208
601,213.5511
602,265.6157
603,190.2547
604,182.3516
605,192.2045
606,179.3571
607,191.7052
608,190.7571
609,200.4118
610,208.0217
611,177.5891
612,210.2527
613,190.0144
614,209.5861
615,192.5277
616,179.8898
617,233.4988
618,2641.0826
619,2517.076
620,2495.1771
621,194.6834
622,204.057
623,2698.7235
624,2574.3093
625,225.4319
626,211.7533
627,2560.5029
628,189.8127
629,199.7522
630,218.8054
631,2587.3344
632,215.5565
633,173.5595
634,197.4047
635,188.0185
636,201.0334
637,186.1775
638,208.1371
639,186.2618
640,173.8532
641,167.8094
642,173.5932
643,177.3829
644,186.8425
645,183.3422
646,199.3474
647,184.7294
648,181.0745
649,180.418
650,214.1375
651,221.713
652,234.0915
653,237.9437
654,226.5029
655,226.879
656,254.4151
657,191.2454
658,192.8856
659,207.0263
660,237.3132
661,177.2321
662,173.2
663,191.2207
664,192.7177
665,191.4569
666,199.2636
667,214.7014
668,196.6435
669,214.5348
670,197.8631
671,216.8849
672,220.3337
673,221.9054
674,217.8955
675,208.3426
676,225.3786
677,191.4535
678,212.3443
679,201.8478
680,175.4121
681,176.6333
682,192.3513
683,2444.5234
684,300.2926
685,224.5615
686,190.0275
687,204.4707
688,188.7952
689,188.59
690,197.558
691,171.0072
692,161.199
693,170.0604
694,198.0142
695,196.9309
696,159.473
697,146.3866
698,2059.3195
699,159.651
700,167.0281
701,153.8263
702,2204.2658
703,167.0512
704,180.0553
705,157.1468
706,2147.5518
707,212.8395
708,133.1504
709,231.0465
710,157.5937
711,179.5837
712,137.9228
713,163.7215
714,161.8243
715,132.6969
716,133.0006
717,142.8297
718,170.4804
719,137.5018
720,164.685
721,183.6594
722,131.3098
723,148.4651
724,134.8248
725,135.7265
726,1927.3281
727,2230.3825
728,146.3274
729,2107.7969
730,140.3733
731,157.0677
732,131.5116
733,116.9739
734,128.3051
735,126.9889
736,2002.3257
737,119.31
738,116.0612
739,116.3548
740,116.2472
741,135.1213
742,132.3446
743,122.806
744,136.8603
745,120.5214
746,149.8456
747,108.2414
748,115.2745
749,124.6167
750,125.8901
751,117.9035
752,117.6368
753,127.4718
754,113.1962
755,105.989
756,111.9942
757,107.3874
758,138.5681
759,242.1877
760,114.6189
761,248.6841
762,129.2134
763,264.8037
764,121.7654
765,106.5672
766,105.5005
767,93.7297
768,98.7286
769,98.4874
770,116.1518
771,124.3728
772,95.8926
773,100.8291
774,114.5261
775,110.8433
776,119.8075
777,100.1924
778,109.8771
779,117.7971
780,105.9773
781,112.7042
782,119.3906
783,102.4134
784,91.9982
785,88.314
786,132.0513
787,85.8029
788,113.329
789,104.0631
790,93.3394
791,99.5755
792,106.8675
793,96.1227
794,87.0868
795,85.6572
796,94.5543
797,99.2034
798,85.5403
799,82.9083
800,98.0016
801,85.5903
802,110.375
803,110.7149
804,83.4829
805,88.586
806,1359.3963
807,113.294
808,118.0231
809,116.4765
810,1500.3436
811,81.3986
812,89.2211
813,1461.7345
814,109.9726
815,1510.0639
816,79.5576
817,89.8711
818,76.1056
819,72.0759
820,78.1109
821,75.7548
822,95.0835
823,70.0235
824,75.5201
825,82.702
826,82.4411
827,72.0629
828,71.1371
829,70.7102
830,77.7448
831,79.8052
832,64.6504
833,84.6691
834,110.511
835,88.8458
836,112.1702
837,70.8436
838,57.359
839,59.0337
840,61.2921
841,68.6686
842,112.9737
843,65.244
844,65.5617
845,61.3751
846,62.3388
847,69.064
848,72.0622
849,65.4586
850,80.4561
851,66.0023
852,55.5874
853,54.2712
854,58.3917
855,62.4998
856,80.9035
857,76.2295
858,55.6942
859,58.5152
860,85.7571
861,70.5975
862,64.5465
863,1137.0903
864,61.2333
865,140.651
866,61.3606
867,53.7626
868,61.351
869,56.6617
870,57.4054
871,59.4624
872,49.5675
873,60.8292
874,49.1551
875,46.7529
876,54.0154
877,53.5339
878,45.2348
879,52.8864
880,57.4615
881,48.9108
882,61.2256
883,40.9399
884,104.9954
885,40.5523
886,37.3442
887,49.6204
888,35.3792
889,36.544
890,43.5269
891,36.2291
892,36.6273
893,37.2989
894,39.7023
895,42.5813
896,38.9385
897,44.21
898,38.5058
899,40.1842
900,796.06
901,742.1286
902,42.2026
903,38.2459
904,28.1327
905,29.4446
906,29.9728
907,32.6034
908,27.7642
909,23.2363
910,32.245
911,30.629
912,32.1783
913,33.3622
914,28.7762
915,23.88
916,25.4784
917,28.1405
918,27.6845
919,23.2832
920,27.9662
921,29.4325
922,27.6951
923,24.853
924,20.4848
925,24.6992
926,26.4523
927,18.2512
928,19.6582
929,26.0944
930,20.9799
931,17.3412
932,606.5784
933,69.8851
934,30.0458
935,21.4133
936,21.5786
937,18.2444
938,15.8734
939,19.5568
940,15.2354
941,17.0649
942,20.0713
943,19.7248
944,14.8742
945,14.9847
946,15.4554
947,13.7072
948,366.8039
949,11.1978
950,12.2511
951,10.8266
952,11.4119
953,13.5701
954,14.7999
955,13.568
956,12.5417
957,12.1329
958,14.1002
959,13.0295
960,13.6967
961,13.5263
962,11.7243
963,12.4846
964,10.1407
965,340.9798
966,10.0142
967,12.5557
