Algorithm,Average,std
Local_search_FFS_Execution_time_sharing_LSLD.csv,1185.289023,73.88358509
Local_search_FFS_Execution_time_sharing_LSMD.csv,1189.247424,43.7687498
Local_search_FFS_Execution_time_sharing_LSHD.csv,1153.79372,42.01302105
Local_search_FFS_Execution_time_sharing_MSLD.csv,1213.355046,72.63149895
Local_search_FFS_Execution_time_sharing_MSMD.csv,1206.244237,55.91571707
Local_search_FFS_Execution_time_sharing_MSHD.csv,1259.005864,49.11044969
Local_search_FFS_Execution_time_sharing_HSLD.csv,1168.358033,70.59905698
Local_search_FFS_Execution_time_sharing_HSMD.csv,1213.418989,53.06174124
Local_search_FFS_Execution_time_sharing_HSHD.csv,1204.367385,64.20344619
Local_search_BFS_Execution_time_sharing_equal_LSLD.csv,1308.781961,65.35912355
Local_search_BFS_Execution_time_sharing_equal_LSMD.csv,1298.991386,55.41913119
Local_search_BFS_Execution_time_sharing_equal_LSHD.csv,1300.530803,53.24748837
Local_search_BFS_Execution_time_sharing_equal_MSLD.csv,1284.981897,40.47167443
Local_search_BFS_Execution_time_sharing_equal_MSMD.csv,1300.961797,72.89294136
Local_search_BFS_Execution_time_sharing_equal_MSHD.csv,1247.445261,32.13932633
Local_search_BFS_Execution_time_sharing_equal_HSLD.csv,1295.870903,77.29280329
Local_search_BFS_Execution_time_sharing_equal_HSMD.csv,1318.777236,39.70421483
Local_search_BFS_Execution_time_sharing_equal_HSHD.csv,1292.048385,67.47839249
Local_search_WFS_Execution_time_sharing_equal_LSLD.csv,1448.256639,50.88079631
Local_search_WFS_Execution_time_sharing_equal_LSMD.csv,1376.438735,91.83739819
Local_search_WFS_Execution_time_sharing_equal_LSHD.csv,1354.274391,24.13135846
Local_search_WFS_Execution_time_sharing_equal_MSLD.csv,1360.883459,45.60133199
Local_search_WFS_Execution_time_sharing_equal_MSMD.csv,1437.824954,39.49296616
Local_search_WFS_Execution_time_sharing_equal_MSHD.csv,1393.678402,45.48408843
Local_search_WFS_Execution_time_sharing_equal_HSLD.csv,1429.954974,62.22611163
Local_search_WFS_Execution_time_sharing_equal_HSMD.csv,1443.325107,16.7619554
Local_search_WFS_Execution_time_sharing_equal_HSHD.csv,1372.413966,54.85214357
