Algorithm,Sharing_oblivious_Average,Sharing_Average,Local_search_Average,sharing_ratio,sharing_oblivious_ratio
online_sharing_FFS_Execution_time_sharing_LSLD.csv,1475.468565,1322.279567,1185.289023,0.896398199,0.803330583
online_sharing_FFS_Execution_time_sharing_LSMD.csv,1200.631286,1042.679833,1189.247424,1.140568165,0.990518436
online_sharing_FFS_Execution_time_sharing_LSHD.csv,1238.750533,1110.351567,1153.79372,1.039124683,0.931417335
online_sharing_FFS_Execution_time_sharing_MSLD.csv,1448.876543,1300.995067,1213.355046,0.932636162,0.837445434
online_sharing_FFS_Execution_time_sharing_MSMD.csv,1385.484416,1259.514667,1206.244237,0.95770559,0.870629957
online_sharing_FFS_Execution_time_sharing_MSHD.csv,1471.731262,1354.841,1259.005864,0.929264662,0.855459075
online_sharing_FFS_Execution_time_sharing_HSLD.csv,1563.231981,1453.971333,1168.358033,0.803563321,0.747399009
online_sharing_FFS_Execution_time_sharing_HSMD.csv,1448.485407,1321.289267,1213.418989,0.918359832,0.837715715
online_sharing_FFS_Execution_time_sharing_HSHD.csv,1521.444385,1395.5246,1204.367385,0.86302125,0.791594748
online_sharing_BFS_Execution_time_sharing_equal_LSLD.csv,1410.946707,1289.306467,1308.781961,1.015105403,0.92759135
online_sharing_BFS_Execution_time_sharing_equal_LSMD.csv,1303.20951,1148.005833,1298.991386,1.131519848,0.99676328
online_sharing_BFS_Execution_time_sharing_equal_LSHD.csv,1265.465226,1129.1243,1300.530803,1.151804813,1.027709633
online_sharing_BFS_Execution_time_sharing_equal_MSLD.csv,1463.028693,1306.6492,1284.981897,0.983417659,0.878302595
online_sharing_BFS_Execution_time_sharing_equal_MSMD.csv,1438.433668,1310.386467,1300.961797,0.992807717,0.904429468
online_sharing_BFS_Execution_time_sharing_equal_MSHD.csv,1385.515584,1271.431233,1247.445261,0.981134668,0.900347333
online_sharing_BFS_Execution_time_sharing_equal_HSLD.csv,1628.270675,1497.994867,1295.870903,0.865070323,0.795857177
online_sharing_BFS_Execution_time_sharing_equal_HSMD.csv,1587.169029,1447.167533,1318.777236,0.911281663,0.830899048
online_sharing_BFS_Execution_time_sharing_equal_HSHD.csv,1710.285826,1596.5077,1292.048385,0.809296682,0.755457576
online_sharing_WFS_Execution_time_sharing_equal_LSLD.csv,1428.812791,1301.684067,1448.256639,1.112602263,1.013608394
online_sharing_WFS_Execution_time_sharing_equal_LSMD.csv,1197.50186,1062.496433,1376.438735,1.2954761,1.149425133
online_sharing_WFS_Execution_time_sharing_equal_LSHD.csv,1226.24784,1091.866533,1354.274391,1.24032961,1.104405118
online_sharing_WFS_Execution_time_sharing_equal_MSLD.csv,1511.28274,1385.7094,1360.883459,0.982084309,0.900482367
online_sharing_WFS_Execution_time_sharing_equal_MSMD.csv,1387.379662,1258.987367,1437.824954,1.142048754,1.036360121
online_sharing_WFS_Execution_time_sharing_equal_MSHD.csv,1613.95757,1460.045333,1393.678402,0.954544609,0.863516134
online_sharing_WFS_Execution_time_sharing_equal_HSLD.csv,1675.624358,1545.825533,1429.954974,0.925042926,0.853386361
online_sharing_WFS_Execution_time_sharing_equal_HSMD.csv,1762.395807,1639.196333,1443.325107,0.88050777,0.818956276
online_sharing_WFS_Execution_time_sharing_equal_HSHD.csv,1675.499759,1533.0227,1372.413966,0.895233949,0.81910723
