File,Sum of Second Column
online_sharing_BFS_Execution_time_sharing_alpha_LSLD.csv,1346.2821
online_sharing_BFS_Execution_time_sharing_alpha_LSMD.csv,1426.6098
online_sharing_BFS_Execution_time_sharing_alpha_LSHD.csv,1137.8492
online_sharing_BFS_Execution_time_sharing_alpha_MSLD.csv,1484.7524
online_sharing_BFS_Execution_time_sharing_alpha_MSMD.csv,1336.8574
online_sharing_BFS_Execution_time_sharing_alpha_MSHD.csv,1458.0996
online_sharing_BFS_Execution_time_sharing_alpha_HSLD.csv,1440.2384
online_sharing_BFS_Execution_time_sharing_alpha_HSMD.csv,1678.2818
online_sharing_BFS_Execution_time_sharing_alpha_HSHD.csv,1450.1041
online_sharing_BFS_Execution_time_sharing_beta_LSLD.csv,1371.8967
online_sharing_BFS_Execution_time_sharing_beta_LSMD.csv,1122.9572
online_sharing_BFS_Execution_time_sharing_beta_LSHD.csv,1135.5686
online_sharing_BFS_Execution_time_sharing_beta_MSLD.csv,1175.6545
online_sharing_BFS_Execution_time_sharing_beta_MSMD.csv,1122.3202
online_sharing_BFS_Execution_time_sharing_beta_MSHD.csv,1236.1816
online_sharing_BFS_Execution_time_sharing_beta_HSLD.csv,1385.4509
online_sharing_BFS_Execution_time_sharing_beta_HSMD.csv,1566.0924
online_sharing_BFS_Execution_time_sharing_beta_HSHD.csv,1463.5362
online_sharing_BFS_Execution_time_sharing_equal_LSLD.csv,1344.9141
online_sharing_BFS_Execution_time_sharing_equal_LSMD.csv,1059.0356
online_sharing_BFS_Execution_time_sharing_equal_LSHD.csv,1012.3045
online_sharing_BFS_Execution_time_sharing_equal_MSLD.csv,1185.2513
online_sharing_BFS_Execution_time_sharing_equal_MSMD.csv,1283.3269
online_sharing_BFS_Execution_time_sharing_equal_MSHD.csv,1177.6186
online_sharing_BFS_Execution_time_sharing_equal_HSLD.csv,1515.6679
online_sharing_BFS_Execution_time_sharing_equal_HSMD.csv,1530.4046
online_sharing_BFS_Execution_time_sharing_equal_HSHD.csv,1649.4996
online_sharing_FFS_Execution_time_sharing_LSLD.csv,1381.1335
online_sharing_FFS_Execution_time_sharing_LSMD.csv,1028.5398
online_sharing_FFS_Execution_time_sharing_LSHD.csv,1094.709
online_sharing_FFS_Execution_time_sharing_MSLD.csv,1310.9885
online_sharing_FFS_Execution_time_sharing_MSMD.csv,1425.3826
online_sharing_FFS_Execution_time_sharing_MSHD.csv,1567.6161
online_sharing_FFS_Execution_time_sharing_HSLD.csv,1719.4163
online_sharing_FFS_Execution_time_sharing_HSMD.csv,1430.3324
online_sharing_FFS_Execution_time_sharing_HSHD.csv,1559.6545
online_sharing_WFS_Execution_time_sharing_alpha_LSLD.csv,1505.8144
online_sharing_WFS_Execution_time_sharing_alpha_LSMD.csv,1151.6345
online_sharing_WFS_Execution_time_sharing_alpha_LSHD.csv,1255.9422
online_sharing_WFS_Execution_time_sharing_alpha_MSLD.csv,1598.5509
online_sharing_WFS_Execution_time_sharing_alpha_MSMD.csv,1300.7912
online_sharing_WFS_Execution_time_sharing_alpha_MSHD.csv,1534.5667
online_sharing_WFS_Execution_time_sharing_alpha_HSLD.csv,1449.4697
online_sharing_WFS_Execution_time_sharing_alpha_HSMD.csv,1906.4181
online_sharing_WFS_Execution_time_sharing_alpha_HSHD.csv,1567.9855
online_sharing_WFS_Execution_time_sharing_beta_LSLD.csv,1683.1968
online_sharing_WFS_Execution_time_sharing_beta_LSMD.csv,1332.5331
online_sharing_WFS_Execution_time_sharing_beta_LSHD.csv,1205.0928
online_sharing_WFS_Execution_time_sharing_beta_MSLD.csv,1659.024
online_sharing_WFS_Execution_time_sharing_beta_MSMD.csv,1492.6933
online_sharing_WFS_Execution_time_sharing_beta_MSHD.csv,1296.1725
online_sharing_WFS_Execution_time_sharing_beta_HSLD.csv,1760.9436
online_sharing_WFS_Execution_time_sharing_beta_HSMD.csv,1927.2603
online_sharing_WFS_Execution_time_sharing_beta_HSHD.csv,1922.7872
online_sharing_WFS_Execution_time_sharing_equal_LSLD.csv,1378.9074
online_sharing_WFS_Execution_time_sharing_equal_LSMD.csv,1070.6509
online_sharing_WFS_Execution_time_sharing_equal_LSHD.csv,1107.8914
online_sharing_WFS_Execution_time_sharing_equal_MSLD.csv,1492.1189
online_sharing_WFS_Execution_time_sharing_equal_MSMD.csv,1339.8934
online_sharing_WFS_Execution_time_sharing_equal_MSHD.csv,1625.6505
online_sharing_WFS_Execution_time_sharing_equal_HSLD.csv,1837.6398
online_sharing_WFS_Execution_time_sharing_equal_HSMD.csv,1726.3303
online_sharing_WFS_Execution_time_sharing_equal_HSHD.csv,1664.1245
