Algorithm,Execution_time_500_1,Execution_time_500_2,Execution_time_500_3,Average,std
online_sharing_BFS_Execution_time_sharing_alpha_LSLD.csv,1647.140751,1465.10766,1539.955444,1550.734618,91.49401304
online_sharing_BFS_Execution_time_sharing_alpha_LSMD.csv,1664.976467,1224.244893,1589.347448,1492.85627,235.6777263
online_sharing_BFS_Execution_time_sharing_alpha_LSHD.csv,1163.366633,1257.129867,1257.207738,1225.901413,54.15672177
online_sharing_BFS_Execution_time_sharing_alpha_MSLD.csv,1228.906806,1138.227823,1596.399686,1321.178105,242.6228728
online_sharing_BFS_Execution_time_sharing_alpha_MSMD.csv,1192.991409,1211.283408,1420.756402,1275.010407,126.5506648
online_sharing_BFS_Execution_time_sharing_alpha_MSHD.csv,1237.36512,1229.687076,1639.782075,1368.944757,234.5834129
online_sharing_BFS_Execution_time_sharing_alpha_HSLD.csv,1204.350307,1675.152338,1613.218034,1497.57356,255.8199985
online_sharing_BFS_Execution_time_sharing_alpha_HSMD.csv,1186.117489,1611.606183,1845.506996,1547.743556,334.3014464
online_sharing_BFS_Execution_time_sharing_alpha_HSHD.csv,1315.104488,1541.602949,1555.155894,1470.62111,134.8517166
online_sharing_BFS_Execution_time_sharing_beta_LSLD.csv,1397.50841,1359.078877,1499.96542,1418.850902,72.82774903
online_sharing_BFS_Execution_time_sharing_beta_LSMD.csv,1223.241973,1137.341282,1237.334344,1199.305866,54.12352553
online_sharing_BFS_Execution_time_sharing_beta_LSHD.csv,1204.717251,1126.197315,1314.401543,1215.10537,94.5311727
online_sharing_BFS_Execution_time_sharing_beta_MSLD.csv,1539.485751,1212.235382,1281.539741,1344.420291,172.4490468
online_sharing_BFS_Execution_time_sharing_beta_MSMD.csv,1388.252864,1364.490497,1250.100143,1334.281168,73.8647157
online_sharing_BFS_Execution_time_sharing_beta_MSHD.csv,1306.56759,1213.963252,1432.866881,1317.799241,109.8831752
online_sharing_BFS_Execution_time_sharing_beta_HSLD.csv,1590.578833,1305.286379,1514.640346,1470.168519,147.7540305
online_sharing_BFS_Execution_time_sharing_beta_HSMD.csv,1513.548937,1382.813201,1663.870665,1520.077601,140.6424261
online_sharing_BFS_Execution_time_sharing_beta_HSHD.csv,1324.201013,1363.491061,1600.586638,1429.426237,149.5253791
online_sharing_BFS_Execution_time_sharing_equal_LSLD.csv,1341.910689,1398.299532,1492.6299,1410.946707,76.15138488
online_sharing_BFS_Execution_time_sharing_equal_LSMD.csv,1416.050953,1299.453198,1194.124378,1303.20951,111.0109613
