"active_bins","sum_of_data"
"1","704.1000000000001"
"2","1549.3999999999999"
"3","2235.8000000000006"
"4","2955.599999999999"
"5","3722.799999999998"
"6","4460.3"
"7","5176.100000000002"
"7","6067.600000000001"
"8","6772.200000000003"
"9","7493.200000000003"
"10","8292.000000000004"
"11","9028.600000000002"
"11","9763.200000000006"
"12","10506.500000000007"
"12","11255.700000000006"
"13","12112.200000000012"
"13","11363.000000000007"
"14","11860.90000000001"
"15","12819.200000000015"
"16","13642.50000000002"
"16","14553.30000000002"
"17","15323.700000000023"
"18","16065.800000000021"
"19","16764.800000000025"
"20","17602.300000000025"
"21","18312.100000000017"
"22","19149.800000000014"
"22","19829.500000000007"
"23","20713.7"
"24","21275.59999999999"
"25","22084.699999999983"
"26","22688.89999999998"
"27","23453.999999999985"
"27","24200.699999999986"
"28","24779.899999999983"
"29","25505.899999999983"
"30","26286.099999999977"
"31","27190.099999999977"
"32","27836.59999999998"
"33","28465.299999999977"
"34","29308.29999999997"
"34","30273.299999999974"
"35","30811.199999999975"
"36","31498.599999999973"
"37","32537.499999999967"
"38","33271.59999999996"
"38","33946.89999999996"
"38","34717.19999999995"
"39","35402.49999999994"
"40","36236.599999999926"
"41","37231.799999999916"
"42","37927.19999999991"
"42","38735.39999999991"
"43","39395.99999999988"
"42","38661.899999999914"
"41","37816.599999999904"
"42","38493.399999999914"
"42","39312.299999999894"
"43","39963.199999999866"
"42","39154.09999999986"
"42","39819.39999999985"
"42","40359.59999999984"
"43","41059.199999999844"
"43","41637.69999999986"
"44","42575.79999999986"
"43","41859.999999999854"
"44","42511.19999999986"
"44","43183.19999999986"
"45","44061.29999999985"
"44","43237.99999999987"
"44","44126.29999999985"
"44","44779.79999999984"
"44","45604.69999999981"
"45","46326.29999999981"
"46","47109.59999999981"
"46","47754.899999999805"
"47","48455.8999999998"
"48","49278.19999999979"
"49","49988.0999999998"
"48","49450.19999999979"
"48","48558.699999999786"
"48","49109.49999999978"
"49","50015.89999999979"
"49","51020.1999999998"
"50","51952.6999999998"
"51","52696.399999999805"
"52","53469.59999999981"
"53","54175.99999999979"
"54","54834.29999999978"
"54","55639.899999999754"
"55","56307.69999999975"
"55","56928.29999999975"
"55","57771.699999999735"
"55","58512.899999999725"
"55","59237.79999999973"
"56","59898.79999999971"
"57","60659.99999999971"
"58","61635.99999999969"
"58","62410.4999999997"
"59","63252.699999999684"
"59","63935.29999999969"
"59","64695.199999999684"
"60","65461.79999999968"
"60","65966.59999999969"
"61","66756.1999999997"
"61","67366.99999999971"
"60","66662.3999999997"
"61","67520.09999999971"
"61","68322.29999999968"
"62","69030.0999999997"
"63","69806.09999999964"
"63","69255.29999999967"
"63","69953.09999999969"
"63","70670.89999999969"
"63","71392.79999999968"
"63","72239.0999999997"
"63","72827.89999999966"
"63","72093.29999999971"
"63","72878.1999999997"
"63","72182.79999999971"
"64","72910.0999999997"
"64","73503.8999999997"
"64","74253.19999999974"
"65","75189.19999999975"
"65","74513.89999999978"
"64","73807.49999999978"
"65","74517.99999999981"
"66","75457.1999999998"
"66","76329.99999999978"
"66","77046.29999999983"
"66","77748.09999999985"
"66","78727.89999999986"
"66","77986.69999999985"
"66","78816.89999999983"
"66","79634.09999999986"
"67","80377.99999999985"
"67","81170.09999999983"
"67","81863.79999999986"
"68","82731.29999999986"
"67","82070.29999999986"
"67","82918.39999999985"
"67","83648.09999999986"
"67","82643.79999999987"
"67","83466.79999999981"
"67","84365.79999999981"
"67","83787.2999999998"
"67","82953.19999999976"
"67","83756.89999999978"
"67","84443.79999999977"
"67","85221.8999999998"
"67","85827.69999999982"
"67","86561.79999999983"
"68","87317.59999999986"
"68","87925.89999999986"
"68","87088.19999999987"
"69","87893.89999999988"
"70","88631.69999999988"
"70","87921.19999999984"
"71","88739.39999999983"
"72","89605.59999999985"
"72","90354.59999999986"
"73","91291.89999999989"
"73","90574.09999999989"
"74","91321.4999999999"
"74","92132.19999999985"
"74","92706.59999999986"
"74","92112.79999999986"
"75","92886.79999999989"
"76","93644.19999999988"
"77","94584.89999999988"
"77","94086.99999999987"
"77","93249.49999999985"
"76","92547.69999999987"
"76","93146.39999999985"
"75","92356.79999999987"
"76","93171.19999999987"
"77","93820.29999999984"
"77","94544.0999999998"
"77","95283.89999999979"
"77","96066.8999999998"
"78","96782.09999999983"
"77","96057.19999999984"
"78","96785.69999999982"
"78","97562.69999999981"
"78","98445.1999999998"
"78","99196.6999999998"
"78","98470.69999999984"
"78","99116.49999999988"
"79","99922.89999999995"
"79","99188.79999999994"
"79","100149.69999999997"
"79","100950.09999999999"
"78","100229.09999999998"
"78","100828.09999999996"
"78","101513.89999999994"
"78","102253.29999999994"
"78","101552.29999999993"
"78","102150.09999999993"
"79","102947.19999999995"
"80","103685.69999999995"
"80","104428.19999999991"
"80","105014.69999999992"
"81","105795.79999999994"
"81","106462.79999999999"
"82","107059.8"
"82","107858.99999999999"
"81","107120.49999999999"
"81","108090.09999999998"
"81","107503.59999999996"
"82","108393.49999999994"
"82","109100.09999999996"
"82","108417.49999999993"
"83","109100.19999999995"
"83","108439.59999999995"
"83","107745.89999999992"
"83","108387.79999999996"
"84","109244.4"
"84","108345.40000000001"
"84","109276.30000000003"
"83","108502.3"
"83","109326.50000000004"
"84","110190.20000000006"
"84","109581.90000000002"
"84","110156.20000000004"
"84","109197.90000000001"
"84","108488.09999999999"
"84","109087.10000000002"
"85","109707.80000000002"
"84","109022.50000000001"
"83","108364.20000000004"
"83","107586.10000000006"
"83","108406.80000000005"
"83","109267.40000000002"
"84","109979.90000000007"
"84","110621.50000000009"
"84","111402.30000000009"
"84","110541.70000000011"
"84","111463.70000000013"
